time,event,p1,p2
18.749187968504085,9,76,
18.752366601855208,1,296,263.0
18.772057534893015,1,336,104.0
18.81107149735357,2,427,
18.843999506460783,9,456,
18.84752229908427,9,488,
18.84908594550188,1,308,464.0
18.870982832588783,2,270,
18.88238278911336,10,29,
18.88588618978306,4,384,251.0
18.893250986719362,10,154,
18.907982390525095,10,320,
18.908293646389,10,227,
18.909592402882797,10,458,
18.923928395324236,9,435,
18.926076781977933,1,67,435.0
18.932270134357093,1,414,132.0
18.936326865525658,1,143,327.0
18.93821376439282,9,175,
18.965216081976493,2,213,
18.965599725531124,5,389,180.0
18.991610178466907,2,238,
18.994702893642607,10,168,
19.011906798655215,2,235,
19.02130451098687,3,426,459.0
19.022311201130954,1,20,168.0
19.048745724059696,1,245,389.0
19.056788746177187,1,167,29.0
19.063909994386336,1,450,76.0
19.075709457352637,1,489,350.0
19.0882375207412,3,141,130.0
19.092733924409718,1,313,232.0
19.113074625549373,2,104,
19.12786309547196,1,114,273.0
19.138285880517852,10,166,
19.150099568682258,10,298,
19.166541691611307,2,79,
19.183623977426716,9,409,
19.184790985978665,4,84,205.0
19.197814509168513,1,292,84.0
19.199558072221777,1,390,254.0
19.207885022051283,2,327,
19.219871007206947,10,413,
19.233971893735113,1,217,261.0
19.2367901931096,2,461,
19.238161488857784,1,302,253.0
19.25190898251186,2,168,
19.253510112361877,1,420,437.0
19.254851727316144,1,352,29.0
19.254926864196356,1,246,161.0
19.266047046220567,1,425,82.0
19.27957813369864,1,18,475.0
19.282656147220557,1,376,456.0
19.304452104474734,1,399,298.0
19.325405004590042,9,493,
19.334960218383628,10,218,
19.336957297911553,9,202,
19.34542395795782,1,492,117.0
19.35842925117932,1,211,389.0
19.39004494523816,1,63,84.0
19.410549548271245,1,0,319.0
19.435850325757716,10,465,
19.442335984429963,1,474,166.0
19.45354947800534,3,405,323.0
19.45497091527521,2,384,
19.463251227760797,10,179,
19.47274472641355,2,400,
19.480255847234204,1,96,487.0
19.483154629062522,1,73,311.0
19.48867531019345,2,200,
19.491702896350468,1,40,367.0
19.497325615080907,1,124,161.0
19.501423875125575,1,359,117.0
19.507169442224583,1,46,117.0
19.527234065691943,4,246,285.0
19.540647011041596,1,98,179.0
19.555560579617534,1,56,465.0
19.57745055526871,4,204,82.0
19.60445094011331,1,265,413.0
19.61550642671192,10,124,
19.618751064316584,2,72,
19.621130622185614,9,295,
